REF_DATE,province,Immigrants,Net emigration,Net non-permanent residents
1961,Prince Edward Island,69.0,,
1961,Quebec,16920.0,,
1961,Saskatchewan,1333.0,,
1961,Yukon,50.0,,
1962,Alberta,4745.0,,
1962,British Columbia,7441.0,,
1962,Manitoba,2410.0,,
1962,New Brunswick,944.0,,
1962,Newfoundland and Labrador,378.0,,
1962,Northwest Territories including Nunavut,59.0,,
1962,Nova Scotia,989.0,,
1962,Ontario,37210.0,,
1962,Prince Edward Island,77.0,,
1962,Quebec,19132.0,,
1962,Saskatchewan,1163.0,,
1962,Yukon,38.0,,
1963,Alberta,4731.0,,
1963,British Columbia,9254.0,,
1963,Manitoba,2792.0,,
1963,New Brunswick,769.0,,
1963,Newfoundland and Labrador,349.0,,
1963,Northwest Territories including Nunavut,36.0,,
1963,Nova Scotia,1198.0,,
1963,Ontario,49216.0,,
1963,Prince Edward Island,78.0,,
1963,Quebec,23264.0,,
1963,Saskatchewan,1438.0,,
1963,Yukon,26.0,,
1964,Alberta,5521.0,,
1964,British Columbia,12324.0,,
1964,Manitoba,3006.0,,
1964,New Brunswick,696.0,,
1964,Newfoundland and Labrador,445.0,,
1964,Northwest Territories including Nunavut,64.0,,
1964,Nova Scotia,1189.0,,
1964,Ontario,61468.0,,
1964,Prince Edward Island,79.0,,
1964,Quebec,25973.0,,
1964,Saskatchewan,1795.0,,
1964,Yukon,46.0,,
1965,Alberta,8049.0,,
1965,British Columbia,18502.0,,
1965,Manitoba,3948.0,,
1965,New Brunswick,1074.0,,
1965,Newfoundland and Labrador,604.0,,
1965,Northwest Territories including Nunavut,80.0,,
1965,Nova Scotia,1612.0,,
1965,Ontario,79702.0,,
1965,Prince Edward Island,137.0,,
1965,Quebec,30346.0,,
1965,Saskatchewan,2649.0,,
1965,Yukon,55.0,,
1966,Alberta,10078.0,,
1966,British Columbia,24746.0,,
1966,Manitoba,5132.0,,
1966,New Brunswick,1283.0,,
1966,Newfoundland and Labrador,805.0,,
1966,Northwest Territories including Nunavut,142.0,,
1966,Nova Scotia,2084.0,,
1966,Ontario,107621.0,,
1966,Prince Edward Island,141.0,,
1966,Quebec,39198.0,,
1966,Saskatchewan,3440.0,,
1966,Yukon,73.0,,
1967,Alberta,15004.0,,
1967,British Columbia,27215.0,,
1967,Manitoba,9313.0,,
1967,New Brunswick,1322.0,,
