"REF_DATE","GEO","DGUID","Estimate","North American Industry Classification System (NAICS)","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2019-11","Canada","2021A000011124","Employment for all employees","Industrial aggregate including unclassified businesses [00-91N]","Persons","249","units","0","v79310773","1.1.1","17068614","A","","","0"
"2019-12","Canada","2021A000011124","Employment for all employees","Industrial aggregate including unclassified businesses [00-91N]","Persons","249","units","0","v79310773","1.1.1","17080706","A","","","0"
"2020-01","Canada","2021A000011124","Employment for all employees","Industrial aggregate including unclassified businesses [00-91N]","Persons","249","units","0","v79310773","1.1.1","17120677","A","","","0"
"2020-02","Canada","2021A000011124","Employment for all employees","Industrial aggregate including unclassified businesses [00-91N]","Persons","249","units","0","v79310773","1.1.1","17093718","B","","","0"
"2020-03","Canada","2021A000011124","Employment for all employees","Industrial aggregate including unclassified businesses [00-91N]","Persons","249","units","0","v79310773","1.1.1","16129151","B","","","0"
"2020-04","Canada","2021A000011124","Employment for all employees","Industrial aggregate including unclassified businesses [00-91N]","Persons","249","units","0","v79310773","1.1.1","14257516","B","","","0"
"2020-05","Canada","2021A000011124","Employment for all employees","Industrial aggregate including unclassified businesses [00-91N]","Persons","249","units","0","v79310773","1.1.1","13763494","B","","","0"
"2020-06","Canada","2021A000011124","Employment for all employees","Industrial aggregate including unclassified businesses [00-91N]","Persons","249","units","0","v79310773","1.1.1","14414039","B","","","0"
"2020-07","Canada","2021A000011124","Employment for all employees","Industrial aggregate including unclassified businesses [00-91N]","Persons","249","units","0","v79310773","1.1.1","15148367","B","","","0"
"2020-08","Canada","2021A000011124","Employment for all employees","Industrial aggregate including unclassified businesses [00-91N]","Persons","249","units","0","v79310773","1.1.1","15480893","B","","","0"
"2020-09","Canada","2021A000011124","Employment for all employees","Industrial aggregate including unclassified businesses [00-91N]","Persons","249","units","0","v79310773","1.1.1","15813572","A","","","0"
"2020-10","Canada","2021A000011124","Employment for all employees","Industrial aggregate including unclassified businesses [00-91N]","Persons","249","units","0","v79310773","1.1.1","15994453","B","","","0"
"2020-11","Canada","2021A000011124","Employment for all employees","Industrial aggregate including unclassified businesses [00-91N]","Persons","249","units","0","v79310773","1.1.1","15949446","B","","","0"
"2020-12","Canada","2021A000011124","Employment for all employees","Industrial aggregate including unclassified businesses [00-91N]","Persons","249","units","0","v79310773","1.1.1","15999387","B","","","0"
"2021-01","Canada","2021A000011124","Employment for all employees","Industrial aggregate including unclassified businesses [00-91N]","Persons","249","units","0","v79310773","1.1.1","15868834","B","","","0"
"2021-02","Canada","2021A000011124","Employment for all employees","Industrial aggregate including unclassified businesses [00-91N]","Persons","249","units","0","v79310773","1.1.1","15931182","A","","","0"
